item_id,title,brand,rating,n_rating,price,shipping,img_url,max_rslt,dp,hdmi,dirx,model
14-932-418,"GIGABYTE Radeon RX 6700 XT EAGLE 12G Graphics Card, WINDFORCE 3X Cooling System, 12GB 192-bit GDDR6, GV-R67XTEAGLE-12GD Video Card",GIGABYTE,4.4,54,459.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-418-02.jpg,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-R67XTEAGLE-12GD
9SIBF3CJ598406,Peladn Gaming GTX 1660Super 6G Graphics Card GDDR6 PCI Express 3.0 Video Card Dual-fan Edition,Peladn,5,2,179.0,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/BF3CS2211250DC953A2.jpg,,,,,6972410021415
14-930-077,ASRock Phantom Gaming Arc A770 8GB GDDR6 PCI Express 4.0 x16 Video Card A770 PGD 8GO,ASRock,3,2,329.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-077-04.jpg,7680 x 4320,3 x DisplayPort 2.0H,1 x HDMI 2.1,,A770
14-150-874,"XFX SPEEDSTER SWFT309 AMD Radeon RX 6700 CORE Gaming Graphics Card with 10GB 160-Bit GDDR6, AMD RDNA 2, RX-67XLKWFDV",XFX,4.6,9,359.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-150-874-07.jpg,7680 x 4320,3 x DisplayPort 1.4H,1 x HDMI 2.1,,RX-67XLKWFDV
9SIAZUEHWN8323,Yeston RTX 3070 8GB GDDR6 256bit LHR Graphics cards Nvidia pci express 4.0 HDMI 2.1*1 + DP1.4a*3 video cards Desktop computer PC video gaming graphics card,yeston,3.6,5,599.0,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/AZUES220525IFnVU.jpg,,,,,RTX3070-8G
14-137-707,MSI Gaming GeForce RTX 3050 8GB GDDR6 PCI Express 4.0 Video Card RTX 3050 Gaming X 8G,MSI,4.9,40,349.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-707-V09.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,RTX
9SIAYTVJB55944,"MAXSUN GeForce RTX 3080 iCraft OC 10GB GDDR6X 320-Bit Computer Video Gaming Graphics Card GPU RGB LED, Metal Back Plate, PCI Express 4.0 x16 HDMI 2.1",MAXSUN,4.7,18,889.99,$49.99 Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/AXZZS2207270LVWBK92.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,MS-GeForce
14-137-729,MSI GeForce RTX 3050 8GB GDDR6 PCI Express 4.0 Video Card RTX 3050 AERO ITX 8G OC,MSI,5,1,299.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-729-S05.jpg,7680 x 4320,3 x DisplayPort 1.4H,1 x HDMI 2.1,,RTX
9SIBF3CJ3S2700,Peladn Gaming GeForce GTX 1650 4G Graphics Card PCI Express 3.0 Video Card Dual-fan Edition HDMI DP 1.4,Peladn,,,159.0,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/BF3CS2208030I670W02.jpg,,1 x DisplayPort 1.4D,,,6972410021095
9SIAD2CHGD9602,"XFX SPEEDSTER MERC319 AMD Radeon RX 6800 XT CORE Gaming Graphics Card with 16GB GDDR6 HDMI 3 x DP, AMD RDNA 2 (RX-68XTALFD9)",XFX,4.4,21,729.99,$4.86 Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-150-848-02.jpg,,3 x DisplayPort 1.4H,1 x HDMI 2.1,,RX-68XTALFD9
9SIAD2CHJ22055,"XFX SPEEDSTER SWFT309 AMD Radeon RX 6700 XT CORE Gaming Graphics Card with 12GB GDDR6 HDMI 3xDP, AMD RDNA 2 (RX-67XTYJFDV)",XFX,4.8,35,389.99,$4.49 Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-150-852-V08.jpg,,3 x DisplayPort 1.4H,1 x HDMI 2.1,,RX-67XTYJFDV
14-131-791,PowerColor Fighter Radeon RX 6600 8GB GDDR6 PCI Express 4.0 ATX Video Card AXRX 6600 8GBD6-3DH,PowerColor,4.3,13,239.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-131-791-V01.jpg,7680 x 4320,3 x DisplayPort 1.4H,1 x HDMI 2.1,,AXRX
9SIBGW6J9Y0429,AX Gaming New Graphic Card GEFORCE RTX 3050 X2W 8GB GDDR6 128Bit 8Pin 8NM 1777MHz Gaming GPU Video Cards,AX Gaming,,,297.0,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/BGW6S2210250N9EN904.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,835168002647
9SIAZUEHCK6637,Yeston RTX 3060 12GB GDDR6 LHR Graphics cards Nvidia pci express x16 4.0 video cards Desktop computer PC video gaming graphics card,yeston,4.5,4,379.0,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/AZUES220410o0J6n.jpg,,,,,RTX3060-12G
